0,idx
သွေးတိုး ကျ စေ တယ်,idx_new_health_0
ဆီးချို တိုင်း ကြည့် ပါ,idx_new_health_1
ဆီးချို အတွက် ဆေး လား,idx_new_health_2
သွေးတိုး နေ လို့ ပါ,idx_new_health_3
ဆီးချို ကို လဲ ကျ စေ တယ်,idx_new_health_4
နှလုံး အားဆေး က ပျားရည် ပါ,idx_new_health_5
ရွှေကျင် နှလုံး သည်းခြေဆေး သောက် ပါ,idx_new_health_6
သွေးတိုး ကျ စေ ပါ လိမ့် မည်,idx_new_health_7
ကလေး ဆီးချို ဖြစ် နိုင် လား ရှင့်,idx_new_health_8
ဆီးချို သွေးတိုး ထိုး လို့ ရ လား,idx_new_health_9
ဆေးခန်း သွား ဆီးချို ပါ အရေးကြီး သည်,idx_new_health_10
ဆေးထိုး ပြီး ရင် ဆီးချို တက် တတ် ပါ သလား,idx_new_health_11
နှလုံး ရောဂါ အကြောင်း သိ ချင် ပါ တယ်,idx_new_health_12
နှလုံး သွေးကြောကျဉ်း ချင် တာ မျိုး,idx_new_health_13
ပျို့ တယ် အန် တယ် သွေးတိုး တယ်,idx_new_health_14
သွေးတိုး ရောဂါ လုံးဝ ပျောက်ကင်း ပါ သည်,idx_new_health_15
ဆရာကြီး ကိုယ် စိတ် နှလုံး ဖြာ ကျန်းမာ ချမ်းသာ ပါ စေ ရှင့်,idx_new_health_16
ဆီးချို ဆိုတာ သွေးတိုး က နေ စတာ ပါ,idx_new_health_17
ဆီးချို ရောဂါ သည် တွေ ထိုး ရ လား,idx_new_health_18
နှလုံး အသည်း ကျောက်ကပ် တိုက်ရိုက် ထိ ပါ တယ်,idx_new_health_19
လေ့ကျင့်ခန်း လုပ် ပါ နှလုံး ဆရာဝန် နှင့် ပြ ပါ,idx_new_health_20
သွေးတိုး ရှိ နေ ရင် သွေးပေါင်ချိန် ပါ နော်,idx_new_health_21
သွေးတိုး မ ကျ ရင် လဲ ဆီးချို ဝင် တယ်,idx_new_health_22
ဟုတ်ပ ငါ ဆို ခေါက်ဆွဲခြောက် ထုပ် တွေ ရေ ဖျော် စား ပြီး ရင် ချက်ချင်း သွေးတိုး တယ်,idx_new_health_23
ဆီးချို က ပိန် တဲ့ သူ လည်း ဖြစ် တတ် လား ဗျာ,idx_new_health_24
ဆီးချို ကျ နေ တာ မ ကောင်း ပါ ဘူး,idx_new_health_25
ဆီးချို ဖြစ် ရင် ဘယ်လို လက္ခဏာ တွေ ပြ တာ လဲ ညီမလေး,idx_new_health_26
ဆီးချို ဘယ် အရွယ် က စ ဖြစ် တတ် လဲ,idx_new_health_27
သွေးတိုး နေ ရင် လည်း ဖောင်း နေ တတ် ပါ တယ်,idx_new_health_28
ချို ငန် စိမ့် အဆီ အဲ့ဒါ တွေ က ဆီးချို သွေးချို ကို အားပေး တယ်,idx_new_health_29
ဆီးချို တက် နေ ရင် ကော တိုက် လို့ ရလား ရှင့်,idx_new_health_30
ဆီးချို ကြောင့် ယား ရင် တော့ မ ပြော တတ် ဘူး,idx_new_health_31
ဆီးချို ဖြစ် ရင် ကော ဘယ်လို လက္ခဏာ တွေ ပြ တာ လဲ ရှင့်,idx_new_health_32
ဆီးချို ရှိ တယ် ကိုဗစ် ကာကွယ်ဆေး ထိုး လို့ ရ လား,idx_new_health_33
ဆီးချို သွေးချို ရော ရှိ နေ လား စစ် ကြည့် ပါ ဦး,idx_new_health_34
ဆီးချို သမား တွေ ရော ထိုး လို့ ရ လား ရှင့်,idx_new_health_35
နှလုံး ရှိ တဲ့ ရင်ဘတ် နေရာ မှာ တောင် မနာ ဘူး,idx_new_health_36
နှလုံးသွေးကြောကျဉ်း တာ လည်း ဖြစ် နိုင် ပါ တယ်,idx_new_health_37
လမ်းလျှောက်ခြင်း က နှလုံး ကို တိုက်ရိုက် အားပေး ပါ တယ်,idx_new_health_38
လေဖြတ် ရောဂါ နှင့် နှလုံး နာ ရောဂါ မှ ကင်းဝေး ပါ လိမ့် မယ်,idx_new_health_39
သွေးတိုး မ ရှိ လျှင် ဓာတ်ဆားရည် သောက် နိုင် ပါ တယ်,idx_new_health_40
ဆီးချို စ ဖြစ် တဲ့ လက္ခဏာ လေး သိ ချင် လို့ ပါ,idx_new_health_41
ငါးကြီးဆီ နေ့ တိုင်း သောက် ပါ နှလုံး သွေးကြောကျဉ်း ကာကွယ် တယ်,idx_new_health_42
စစ် ကြည့် ပါ အဲ့ ဒါ လည်း လက္ခဏာ တစ်ခု ပါ ဆီးချို အတွက်,idx_new_health_43
ဆီးချို ဆေး ကို အမြဲ စွဲသောက် ပေး ရင် သက်သာ ပါ တယ်,idx_new_health_44
ဆီးချို ရောဂါ ပျောက်ဆေး တွေ လဲ အမျိုးမျိုး စား ခဲ့ ပါ တယ်,idx_new_health_45
ဆီးချို သွေးချို အတွက် အထူး ကောင်း တဲ့ ဆေး ရှိ ပါ တယ်,idx_new_health_46
တစ် လ ပြည့် သည့် နေ့ ဆီးချို သွေးချို ပြန် စစ် ကြည့် ပါ,idx_new_health_47
ဒါ့ အပြင် ငှက်ပျောသီး စားသုံး ခြင်း က ခန္ဓာကိုယ် အတွက် သွေးတိုး ကျ စေ တယ်,idx_new_health_48
ဓနိဖူး ခြောက် ရေနွေး သောက် တာ လေ ဆီးချို မ တက် တော့ ဘူး,idx_new_health_49
နှလုံး အားနည်း လို့ နှလုံး ရပ် သွား တာ ထင် ပါ တယ်,idx_new_health_50
နှလုံး အောင့် တာ နဲ့ တော့ သိပ် မ တူ ပါ ဘူး,idx_new_health_51
နှလုံးခုန် နှုန်း မြန် နေ ရင် ကော ကိုဗစ် ဖြစ် နိုင် ပါ သလား,idx_new_health_52
ပုံမှန် လူ တစ် ယောက် မှာ နှလုံးခုန် နှုန်း ဘယ်လောက် ရှိ လည်း ရှင့်,idx_new_health_53
ရင်ကျပ် ကောင်း တုန်း အအေးပတ်ခါ သွေးတိုး ၍ အန် ပါ တော့ သည်,idx_new_health_54
ရွှေဆိုင် နဲ့ ဖော် ထား တဲ့ ဆေး နှလုံး အသဲ ကြီး တဲ့ ရောဂါ ကောင်း တယ်,idx_new_health_55
သွေးတိုး နေ တာ ဘီပီအိုင် ဓာတ်ဆားမှုန့် သောက် လို့ ရ လား ရှင့်,idx_new_health_56
သွေးတိုး ရောဂါ ပျောက် ချင် ပါ တယ် အလင်းပြ ပေး ပါ ဆရာ,idx_new_health_57
သွေးတိုး လေငန်း သမား များ အတွက် ဆေး ကောင်း တစ် ခွက် ပါ ဘဲ,idx_new_health_58
သွေးတိုး ရောဂါ ကို ကော အုန်းမှုတ်ခွက် နင်း ရုံ နဲ့ ပျောက် ပါ့ မလား,idx_new_health_59
ကလေး ဆီးချို က ဘယ် အရွယ် လောက် မှာ စ သိ ရ လဲ ရှင့်,idx_new_health_60
ကလေး ဆီးချို ရောဂါ ကြောင့် လည်း ဆီး သွား များ တတ် ပါ တယ်,idx_new_health_61
ကိုဗစ် ဖြစ် ပြီး ဆီးချို ဖြစ် သွား ရင် ပြန် မ ကောင်း တော့ ဘူး လား,idx_new_health_62
